index,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Groups With Access Code,Latitude,Longitude,ID,Updated At,Country,Groups With Access Code (French),Access Code,TOTAL_POP_ev,County_ev,ST_ev,STATE_ev,STCNTY_ev,COUNTY_ev,FIPS_ev,SVI_ev,Area_km2_ev,PopDens_ev,PD_log_ev,geometry,index_tracts,TOTAL_POP_tracts,County_tracts,ST_tracts,STATE_tracts,STCNTY_tracts,COUNTY_tracts,FIPS_tracts,SVI_tracts,Area_km2_tracts,PopDens_tracts,PD_log_tracts
3996,ELEC,Stone's Education Superstore,Raleigh,NC,27607,E,Public,35.793985,-78.75032900000001,60264,2019-10-04 14:44:17 UTC,US,Public,public,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863,POINT (703300.1805027344 3963433.819057602),194,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863
4756,ELEC,SAS Institute Inc - G,Cary,NC,27513,E,Private,35.823401000000004,-78.76124,63074,2019-11-08 19:38:10 UTC,US,Privé,private,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863,POINT (702239.3630278711 3966674.567604708),194,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863
4757,ELEC,SAS Institute Inc - S,Cary,NC,27607,E,Private,35.822241999999996,-78.757042,63075,2019-11-08 19:38:10 UTC,US,Privé,private,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863,POINT (702621.6001234883 3966554.676819398),194,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863
4758,ELEC,SAS Institute Inc - R,Cary,NC,27513,E,Private,35.824815,-78.757352,63076,2019-11-08 19:38:10 UTC,US,Privé,private,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863,POINT (702587.0485061958 3966839.479124838),194,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863
5953,ELEC,SAS Institute Inc - U,Cary,NC,27513,E,Private,35.820801,-78.753109,68003,2019-11-08 19:38:10 UTC,US,Privé,private,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863,POINT (702980.6234205435 3966402.967644045),194,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863
5954,ELEC,SAS Institute Inc - Q,Cary,NC,27513,E,Private,35.82111,-78.749317,68004,2019-11-08 19:38:10 UTC,US,Privé,private,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863,POINT (703322.4541844731 3966445.121818038),194,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863
5955,ELEC,SAS Institute Inc - H,Cary,NC,27513,E,Private,35.827144,-78.76066,68005,2019-11-08 19:38:10 UTC,US,Privé,private,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863,POINT (702282.2619341356 3967091.008777083),194,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863
5956,ELEC,SAS Institute Inc - LW,Cary,NC,27513,E,Private,35.828483,-78.767465,68006,2019-11-08 19:38:10 UTC,US,Privé,private,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863,POINT (701664.0694486784 3967225.504044123),194,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863
18821,ELEC,The Umstead Hotel and Spa - Tesla Destination,Cary,NC,27513,E,Public,35.829902000000004,-78.764586,114660,2019-05-14 21:16:45 UTC,US,Public,public,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863,POINT (701920.5732094308 3967388.864821239),194,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863
24860,ELEC,SAS Institute Inc - A,Cary,NC,27513,E,Private,35.81617,-78.747624,146978,2019-11-08 19:38:10 UTC,US,Privé,private,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863,POINT (703488.036218541 3965900.605550419),194,3079,Wake,37,NORTH CAROLINA,37183,Wake,37183053521,0.068,11.033923100232753,279.04852807384987,5.631385702444863
2952,ELEC,Town of Cary - Town Hall,Cary,NC,27513,E,Public,35.790599,-78.780497,49873,2019-10-04 14:44:17 UTC,US,Public,public,5230,Wake,37,NORTH CAROLINA,37183,Wake,37183053520,0.3424,3.45644650732186,1513.1146942159196,7.32192551674202,POINT (700582.0103320498 3962995.956383952),193,5230,Wake,37,NORTH CAROLINA,37183,Wake,37183053520,0.3424,3.45644650732186,1513.1146942159196,7.32192551674202
2955,ELEC,Rex Hospital,Raleigh,NC,27607,E,Public,35.815458,-78.70503199999999,49878,2019-05-14 21:16:45 UTC,US,Public,public,5439,Wake,37,NORTH CAROLINA,37183,Wake,37183052504,0.4729,5.921416112502317,918.5302800315357,6.8227748709398055,POINT (707338.4563102804 3965911.035414348),120,5439,Wake,37,NORTH CAROLINA,37183,Wake,37183052504,0.4729,5.921416112502317,918.5302800315357,6.8227748709398055
2956,ELEC,Wake Technical Community College,Raleigh,NC,27603,E,Public,35.650348,-78.70739,49881,2019-10-04 14:44:17 UTC,US,Public,public,5312,Wake,37,NORTH CAROLINA,37183,Wake,37183053111,0.2133,16.390317265004125,324.09378745473987,5.78103294135761,POINT (707553.653453991 3947589.045274466),156,5312,Wake,37,NORTH CAROLINA,37183,Wake,37183053111,0.2133,16.390317265004125,324.09378745473987,5.78103294135761
3065,ELEC,Orange County - West Campus Office Building,Hillsborough,NC,27278,E,Public,36.073889,-79.10058599999999,50393,2019-05-14 21:16:45 UTC,US,Public,public,7182,Orange,37,NORTH CAROLINA,37135,Orange,37135011000,0.2901,32.52263588029607,220.83080923804317,5.397396839261481,POINT (671039.5231133325 3993813.597535779),69,7182,Orange,37,NORTH CAROLINA,37135,Orange,37135011000,0.2901,32.52263588029607,220.83080923804317,5.397396839261481
3271,ELEC,Town of Cary - Cary Arts Center,Cary,NC,27511,E,Public,35.782702,-78.781262,51670,2019-10-04 14:44:17 UTC,US,Public,public,3603,Wake,37,NORTH CAROLINA,37183,Wake,37183053507,0.6756,2.881972152078555,1250.1855708083165,7.131047275924402,POINT (700532.7127811408 3962118.318482598),185,3603,Wake,37,NORTH CAROLINA,37183,Wake,37183053507,0.6756,2.881972152078555,1250.1855708083165,7.131047275924402
7133,ELEC,162781G01001010000,Cary,NC,27511,E,Public,35.782687,-78.781277,72672,2019-11-14 10:53:56 UTC,US,Public,public,3603,Wake,37,NORTH CAROLINA,37183,Wake,37183053507,0.6756,2.881972152078555,1250.1855708083165,7.131047275924402,POINT (700531.3945409168 3962116.623708545),185,3603,Wake,37,NORTH CAROLINA,37183,Wake,37183053507,0.6756,2.881972152078555,1250.1855708083165,7.131047275924402
